name	F	fiqh	usage_30d	last_commit	tests	family	verdict
forge_security_drift_scan	0.4	sunat	1	2026-09-04			FIT-WARM
forge_send_confirm	0.1538	makruh	0	2026-08-25			REVIEW-COLD
forge_session_init	0.6333	wajib	1	2026-09-04			FIT-WARM
forge_shell	0.2179	wajib*	12	2026-09-04			WAJIB-PINNED
forge_shell_alert_history	0.5667	sunat	0	2026-09-04			KEEP-COLD-STANDBY
forge_shell_dryrun	0.5667	sunat	0	2026-09-04			KEEP-COLD-STANDBY
forge_shell_ledger	0.5667	sunat	2	2026-09-04			FIT-WARM
forge_shell_status	0.5667	sunat	0	2026-09-04			KEEP-COLD-STANDBY
forge_skill	0.2273	harus	0	2026-08-17			KEEP-COLD-STANDBY
forge_skill_select_query	0.4	sunat	0	2026-09-04			KEEP-COLD-STANDBY
forge_skillstore_read	0.4	sunat	0	2026-08-13			KEEP-COLD-STANDBY
forge_skillstore_write	0.2273	harus	0	2026-08-13			KEEP-COLD-STANDBY
forge_stage	0.2273	harus	0	2026-08-13			KEEP-COLD-STANDBY
forge_status	0.5667	sunat	0	2026-09-04			KEEP-COLD-STANDBY
forge_surface_audit	0.4	sunat	3	2026-09-04			FIT-WARM
forge_surface_guard	0.4	sunat	2	2026-09-04		registry-drift-quintet	FIT-WARM
forge_synthesize	0.2273	harus	0	2026-08-13			KEEP-COLD-STANDBY
forge_tier_bind	0.4	sunat	0	2026-08-13			KEEP-COLD-STANDBY
forge_transfer_confirm	0.1538	makruh	0	2026-08-25			REVIEW-COLD
forge_trust_score	0.3333	harus	0	2026-08-20			KEEP-COLD-STANDBY
forge_vault	0.4	sunat	3	2026-09-04			FIT-WARM
forge_verify_timeline	0.3333	harus	0	2026-09-04			KEEP-COLD-STANDBY
forge_visual_qa	0.4	sunat	0	2026-09-04			KEEP-COLD-STANDBY
forge_visual_seal	0.5333	sunat	0	2026-09-04		witness-seal-family	HOLD-DESIGN
forge_vps_cron	0.4	sunat	3	2026-09-04			FIT-WARM
forge_vps_ports	0.4	sunat	5	2026-09-04			FIT-HOT
forge_vps_services	0.4	sunat	3	2026-09-04			FIT-WARM
forge_wealth	0.4	sunat	0	2026-09-04		organ-bridges	ROUTE
forge_web_zen	0.3333	harus	0	2026-09-04			KEEP-COLD-STANDBY
forge_well	0.4	sunat	0	2026-09-04		organ-bridges	ROUTE
forge_whoami	0.4	sunat	0	?	?		PHANTOM-CLEAN
forge_witness	0.4	sunat	0	2026-09-04			KEEP-COLD-STANDBY
forge_wm_gaps	0.4	sunat	0	2026-09-04			KEEP-COLD-STANDBY
forge_wm_quality	0.4	sunat	0	2026-09-04			KEEP-COLD-STANDBY
forge_wm_stats	0.4	sunat	0	2026-09-04			KEEP-COLD-STANDBY
forge_worktree	0.4	sunat	3	2026-08-19			FIT-WARM
